path,file_name,stem,extension,bucket,family,width,height,status
assets/derived/cutouts/food-stickers-staples-protein-veg-v1/food-stickers-staples-protein-veg-v1__10.png,food-stickers-staples-protein-veg-v1__10.png,food-stickers-staples-protein-veg-v1__10,.png,cutout,food,262,224,derived
assets/derived/cutouts/food-stickers-staples-protein-veg-v1/food-stickers-staples-protein-veg-v1__11.png,food-stickers-staples-protein-veg-v1__11.png,food-stickers-staples-protein-veg-v1__11,.png,cutout,food,265,204,derived
assets/derived/cutouts/food-stickers-staples-protein-veg-v1/food-stickers-staples-protein-veg-v1__12.png,food-stickers-staples-protein-veg-v1__12.png,food-stickers-staples-protein-veg-v1__12,.png,cutout,food,295,210,derived
assets/derived/cutouts/food-stickers-staples-protein-veg-v1/food-stickers-staples-protein-veg-v1__13.png,food-stickers-staples-protein-veg-v1__13.png,food-stickers-staples-protein-veg-v1__13,.png,cutout,food,296,186,derived
assets/derived/cutouts/food-stickers-staples-protein-veg-v1/food-stickers-staples-protein-veg-v1__14.png,food-stickers-staples-protein-veg-v1__14.png,food-stickers-staples-protein-veg-v1__14,.png,cutout,food,225,228,derived
assets/derived/cutouts/food-stickers-staples-protein-veg-v1/food-stickers-staples-protein-veg-v1__15.png,food-stickers-staples-protein-veg-v1__15.png,food-stickers-staples-protein-veg-v1__15,.png,cutout,food,272,211,derived
assets/derived/cutouts/food-stickers-staples-protein-veg-v1/food-stickers-staples-protein-veg-v1__16.png,food-stickers-staples-protein-veg-v1__16.png,food-stickers-staples-protein-veg-v1__16,.png,cutout,food,573,373,derived
assets/derived/cutouts/food-stickers-staples-protein-veg-v1/food-stickers-staples-protein-veg-v1__17.png,food-stickers-staples-protein-veg-v1__17.png,food-stickers-staples-protein-veg-v1__17,.png,cutout,food,254,245,derived
assets/derived/cutouts/food-stickers-staples-protein-veg-v1/food-stickers-staples-protein-veg-v1__18.png,food-stickers-staples-protein-veg-v1__18.png,food-stickers-staples-protein-veg-v1__18,.png,cutout,food,243,241,derived
assets/derived/cutouts/food-stickers-staples-protein-veg-v1/food-stickers-staples-protein-veg-v1__19.png,food-stickers-staples-protein-veg-v1__19.png,food-stickers-staples-protein-veg-v1__19,.png,cutout,food,260,244,derived
assets/derived/cutouts/ui-icons-effects-and-secondary-states-v1/ui-icons-effects-and-secondary-states-v1__01.png,ui-icons-effects-and-secondary-states-v1__01.png,ui-icons-effects-and-secondary-states-v1__01,.png,cutout,ui,73,136,derived
assets/derived/cutouts/ui-icons-effects-and-secondary-states-v1/ui-icons-effects-and-secondary-states-v1__02.png,ui-icons-effects-and-secondary-states-v1__02.png,ui-icons-effects-and-secondary-states-v1__02,.png,cutout,ui,58,154,derived
assets/derived/cutouts/ui-icons-effects-and-secondary-states-v1/ui-icons-effects-and-secondary-states-v1__03.png,ui-icons-effects-and-secondary-states-v1__03.png,ui-icons-effects-and-secondary-states-v1__03,.png,cutout,ui,114,164,derived
assets/derived/cutouts/ui-icons-effects-and-secondary-states-v1/ui-icons-effects-and-secondary-states-v1__04.png,ui-icons-effects-and-secondary-states-v1__04.png,ui-icons-effects-and-secondary-states-v1__04,.png,cutout,ui,132,154,derived
assets/derived/cutouts/ui-icons-effects-and-secondary-states-v1/ui-icons-effects-and-secondary-states-v1__05.png,ui-icons-effects-and-secondary-states-v1__05.png,ui-icons-effects-and-secondary-states-v1__05,.png,cutout,ui,106,123,derived
assets/derived/cutouts/ui-icons-effects-and-secondary-states-v1/ui-icons-effects-and-secondary-states-v1__06.png,ui-icons-effects-and-secondary-states-v1__06.png,ui-icons-effects-and-secondary-states-v1__06,.png,cutout,ui,135,138,derived
assets/derived/cutouts/ui-icons-effects-and-secondary-states-v1/ui-icons-effects-and-secondary-states-v1__07.png,ui-icons-effects-and-secondary-states-v1__07.png,ui-icons-effects-and-secondary-states-v1__07,.png,cutout,ui,74,120,derived
assets/derived/cutouts/ui-icons-effects-and-secondary-states-v1/ui-icons-effects-and-secondary-states-v1__08.png,ui-icons-effects-and-secondary-states-v1__08.png,ui-icons-effects-and-secondary-states-v1__08,.png,cutout,ui,102,132,derived
assets/derived/cutouts/ui-icons-effects-and-secondary-states-v1/ui-icons-effects-and-secondary-states-v1__09.png,ui-icons-effects-and-secondary-states-v1__09.png,ui-icons-effects-and-secondary-states-v1__09,.png,cutout,ui,114,130,derived
assets/derived/cutouts/ui-icons-effects-and-secondary-states-v1/ui-icons-effects-and-secondary-states-v1__10.png,ui-icons-effects-and-secondary-states-v1__10.png,ui-icons-effects-and-secondary-states-v1__10,.png,cutout,ui,148,159,derived
assets/derived/cutouts/ui-icons-effects-and-secondary-states-v1/ui-icons-effects-and-secondary-states-v1__11.png,ui-icons-effects-and-secondary-states-v1__11.png,ui-icons-effects-and-secondary-states-v1__11,.png,cutout,ui,261,129,derived
assets/derived/cutouts/ui-icons-effects-and-secondary-states-v1/ui-icons-effects-and-secondary-states-v1__12.png,ui-icons-effects-and-secondary-states-v1__12.png,ui-icons-effects-and-secondary-states-v1__12,.png,cutout,ui,266,130,derived
assets/derived/cutouts/ui-icons-effects-and-secondary-states-v1/ui-icons-effects-and-secondary-states-v1__13.png,ui-icons-effects-and-secondary-states-v1__13.png,ui-icons-effects-and-secondary-states-v1__13,.png,cutout,ui,66,121,derived
assets/derived/cutouts/ui-icons-effects-and-secondary-states-v1/ui-icons-effects-and-secondary-states-v1__14.png,ui-icons-effects-and-secondary-states-v1__14.png,ui-icons-effects-and-secondary-states-v1__14,.png,cutout,ui,55,152,derived
assets/derived/cutouts/ui-icons-effects-and-secondary-states-v1/ui-icons-effects-and-secondary-states-v1__15.png,ui-icons-effects-and-secondary-states-v1__15.png,ui-icons-effects-and-secondary-states-v1__15,.png,cutout,ui,68,124,derived
assets/derived/cutouts/ui-icons-effects-and-secondary-states-v1/ui-icons-effects-and-secondary-states-v1__16.png,ui-icons-effects-and-secondary-states-v1__16.png,ui-icons-effects-and-secondary-states-v1__16,.png,cutout,ui,57,136,derived
assets/derived/cutouts/ui-icons-effects-and-secondary-states-v1/ui-icons-effects-and-secondary-states-v1__17.png,ui-icons-effects-and-secondary-states-v1__17.png,ui-icons-effects-and-secondary-states-v1__17,.png,cutout,ui,56,136,derived
assets/derived/cutouts/ui-icons-effects-and-secondary-states-v1/ui-icons-effects-and-secondary-states-v1__18.png,ui-icons-effects-and-secondary-states-v1__18.png,ui-icons-effects-and-secondary-states-v1__18,.png,cutout,ui,56,136,derived
assets/derived/cutouts/ui-icons-effects-and-secondary-states-v1/ui-icons-effects-and-secondary-states-v1__19.png,ui-icons-effects-and-secondary-states-v1__19.png,ui-icons-effects-and-secondary-states-v1__19,.png,cutout,ui,130,133,derived
assets/derived/cutouts/ui-icons-effects-and-secondary-states-v1/ui-icons-effects-and-secondary-states-v1__20.png,ui-icons-effects-and-secondary-states-v1__20.png,ui-icons-effects-and-secondary-states-v1__20,.png,cutout,ui,131,133,derived
assets/derived/cutouts/ui-icons-effects-and-secondary-states-v1/ui-icons-effects-and-secondary-states-v1__21.png,ui-icons-effects-and-secondary-states-v1__21.png,ui-icons-effects-and-secondary-states-v1__21,.png,cutout,ui,131,133,derived
assets/derived/cutouts/ui-icons-effects-and-secondary-states-v1/ui-icons-effects-and-secondary-states-v1__22.png,ui-icons-effects-and-secondary-states-v1__22.png,ui-icons-effects-and-secondary-states-v1__22,.png,cutout,ui,130,133,derived
